unsupervised,ndcg,vector space input nnet,ndcg,bow input nnet,0,unsupervised vector diff,,unsupervised bow diff,,,
"drivers (driver, card)",0.379165897,"drivers (site, testing)",0.429044123,"drivers (interface, supports)",0.304241175,"drivers (interface, supports)",,"drivers (interface, supports)",0.074924722,,-0.049878226
"drives (drive, disk)",0.343458075,"drives (platforms, forest)",0.377784752,"drives (baud, runs)",0.303047642,"drives (baud, runs)",,"drives (baud, runs)",0.040410433,,-0.034326677
"driveway (approached, hadnt)",0.543990666,"driveway (abusive, reboost)",0.643828733,"driveway (guilt, rebellion)",0.365630245,"driveway (guilt, rebellion)",,"driveway (guilt, rebellion)",0.178360421,,-0.099838067
"driving (drivers, car)",0.370924285,"driving (fault, brings)",0.435013695,"driving (thousand, car)",0.344575502,"driving (thousand, car)",,"driving (thousand, car)",0.026348783,,-0.06408941
"dro (tartar, artillery)",0.486822923,"dro (tartar, tartars)",0.53338402,"dro (xsoviet, tartar)",0.305569345,"dro (xsoviet, tartar)",,"dro (xsoviet, tartar)",0.181253578,,-0.046561097
"drop (choice, promised)",0.517611041,"drop (worried, hold)",0.598642253,"drop (repeat, living)",0.358926335,"drop (repeat, living)",,"drop (repeat, living)",0.158684706,,-0.081031212
"dropped (hit, ordered)",0.4822216,"dropped (random, everything)",0.585836109,"dropped (quit, membership)",0.359555174,"dropped (quit, membership)",,"dropped (quit, membership)",0.122666426,,-0.103614509
"dropping (backed, unreasonable)",0.460343248,"dropping (acid, speeds)",0.472908073,"dropping (ps, earn)",0.334965796,"dropping (ps, earn)",,"dropping (ps, earn)",0.125377452,,-0.012564825
"drops (troubles, touching)",0.349892451,"drops (guarantee, realtime)",0.376089374,"drops (studying, treat)",0.316179402,"drops (studying, treat)",,"drops (studying, treat)",0.033713049,,-0.026196923
"drove (compassion, walked)",0.491138575,"drove (sends, happily)",0.603019666,"drove (worthless, habit)",0.356401843,"drove (worthless, habit)",,"drove (worthless, habit)",0.134736732,,-0.111881091
"drug (drugs, crime)",0.338941571,"drug (keith, citizen)",0.367719605,"drug (addressed, adults)",0.292699368,"drug (addressed, adults)",,"drug (addressed, adults)",0.046242203,,-0.028778034
"drugs (drug, marijuana)",0.502419668,"drugs (specialized, continues)",0.586301767,"drugs (observing, wrap)",0.345234428,"drugs (observing, wrap)",,"drugs (observing, wrap)",0.15718524,,-0.083882099
"drum (dealership, microphone)",0.354748256,"drum (okay, tomorrow)",0.403575764,"drum (fields, citizen)",0.289542759,"drum (fields, citizen)",,"drum (fields, citizen)",0.065205497,,-0.048827508
"drunk (autos, chains)",0.304078385,"drunk (poison, terrorists)",0.323442153,"drunk (cast, aggressive)",0.269363295,"drunk (cast, aggressive)",,"drunk (cast, aggressive)",0.03471509,,-0.019363768
"dry (pounds, gravity)",0.528105395,"dry (moved, frame)",0.636020396,"dry (hint, maintenance)",0.430645378,"dry (hint, maintenance)",,"dry (hint, maintenance)",0.097460017,,-0.107915001
"dryden (shafer, ames)",0.351074086,"dryden (shafer, ames)",0.390449705,"dryden (shafer, priesthood)",0.292783359,"dryden (shafer, priesthood)",,"dryden (shafer, priesthood)",0.058290727,,-0.039375619
"dsp (robotics, hst)",0.51473126,"dsp (mailorder, principal)",0.600584698,"dsp (cliff, offices)",0.465324126,"dsp (cliff, offices)",,"dsp (cliff, offices)",0.049407134,,-0.085853438
"dtmedincatbyteb30ingrcom (35894, intergraph)",0.383409238,"dtmedincatbyteb30ingrcom (35894, intergraph)",0.46908917,"dtmedincatbyteb30ingrcom (35894, huntsville)",0.309547663,"dtmedincatbyteb30ingrcom (35894, huntsville)",,"dtmedincatbyteb30ingrcom (35894, huntsville)",0.073861575,,-0.085679932
"du (dots, patches)",0.507790069,"du (amendments, istanbul)",0.592630601,"du (analogous, cellular)",0.378647492,"du (analogous, cellular)",,"du (analogous, cellular)",0.129142577,,-0.084840532
"dual (panel, slots)",0.452790728,"dual (adequate, armored)",0.533190501,"dual (limiting, discount)",0.346183525,"dual (limiting, discount)",,"dual (limiting, discount)",0.106607203,,-0.080399773
"dubious (damages, accountability)",0.38386904,"dubious (calculated, accept)",0.460201295,"dubious (demonstrating, possess)",0.298798623,"dubious (demonstrating, possess)",,"dubious (demonstrating, possess)",0.085070417,,-0.076332255
"duck (strap, openwindows)",0.392669082,"duck (xdm, designs)",0.493811128,"duck (glasses, springs)",0.311803476,"duck (glasses, springs)",,"duck (glasses, springs)",0.080865606,,-0.101142046
"dude (ink, kawasaki)",0.337466447,"dude (shouted, crystal)",0.387950168,"dude (correlation, intentions)",0.333045845,"dude (correlation, intentions)",,"dude (correlation, intentions)",0.004420602,,-0.050483721
"due (result, since)",0.367193384,"due (13, known)",0.403967963,"due (free, groups)",0.339926646,"due (free, groups)",,"due (free, groups)",0.027266738,,-0.036774579
"duke (242, strain)",0.289596989,"duke (organisms, scrolling)",0.350007076,"duke (perspective, intellectual)",0.254559082,"duke (perspective, intellectual)",,"duke (perspective, intellectual)",0.035037907,,-0.060410087
"dull (shorter, queries)",0.374555679,"dull (1958, stories)",0.379191265,"dull (drove, switzerland)",0.297215646,"dull (drove, switzerland)",,"dull (drove, switzerland)",0.077340033,,-0.004635586
"dumb (erase, wow)",0.472601321,"dumb (guessing, hung)",0.570989003,"dumb (convinced, foundation)",0.331913364,"dumb (convinced, foundation)",,"dumb (convinced, foundation)",0.140687957,,-0.098387682
"dump (displayed, rides)",0.350053974,"dump (flag, sunos)",0.388464263,"dump (repair, disabled)",0.417353914,"dump (repair, disabled)",,"dump (repair, disabled)",-0.06729994,,-0.038410289
"dumped (jd, freeze)",0.385458085,"dumped (1024, integrity)",0.423894519,"dumped (thu, multimedia)",0.307923649,"dumped (thu, multimedia)",,"dumped (thu, multimedia)",0.077534436,,-0.038436434
"dunn (1952, leonard)",0.408875635,"dunn (rawlinson, 1952)",0.443694963,"dunn (caucasian, mute)",0.325617528,"dunn (caucasian, mute)",,"dunn (caucasian, mute)",0.083258107,,-0.034819328
"dunno (curious, afford)",0.340229921,"dunno (quotations, grad)",0.361706737,"dunno (identified, chris)",0.302147912,"dunno (identified, chris)",,"dunno (identified, chris)",0.038082009,,-0.021476816
"duo (microphone, pump)",0.328949431,"duo (kidney, courses)",0.399890906,"duo (wager, stanley)",0.301159193,"duo (wager, stanley)",,"duo (wager, stanley)",0.027790238,,-0.070941475
"duplicate (networked, transmitter)",0.450840747,"duplicate (continent, regulations)",0.553055152,"duplicate (simplest, seldom)",0.315576154,"duplicate (simplest, seldom)",,"duplicate (simplest, seldom)",0.135264593,,-0.102214405
"duration (sustained, formulate)",0.361970669,"duration (recovery, closer)",0.396265377,"duration (independence, mild)",0.312738825,"duration (independence, mild)",,"duration (independence, mild)",0.049231844,,-0.034294708
"dust (seldom, encounter)",0.399966386,"dust (grain, crash)",0.45064575,"dust (resulting, sleep)",0.311818722,"dust (resulting, sleep)",,"dust (resulting, sleep)",0.088147664,,-0.050679364
"duties (administrative, elected)",0.422069319,"duties (orbit, quantities)",0.410482615,"duties (attitudes, meetings)",0.311211377,"duties (attitudes, meetings)",,"duties (attitudes, meetings)",0.110857942,,0.011586704
"duty (taught, lifting)",0.393876239,"duty (equipment, sequence)",0.471868707,"duty (relationship, minor)",0.315738809,"duty (relationship, minor)",,"duty (relationship, minor)",0.07813743,,-0.077992468
"dx (dx2, mn)",0.322456413,"dx (50mhz, diskettes)",0.359709025,"dx (revs, dried)",0.286314738,"dx (revs, dried)",,"dx (revs, dried)",0.036141675,,-0.037252612
"dx2 (50mhz, vlb)",0.396604642,"dx2 (usable, 50mhz)",0.436925283,"dx2 (486dx50, cobb)",0.318488168,"dx2 (486dx50, cobb)",,"dx2 (486dx50, cobb)",0.078116474,,-0.040320641
"dxf (polygon, smuggling)",0.335814617,"dxf (iff, autocad)",0.374841259,"dxf (raytracing, jpl)",0.289176123,"dxf (raytracing, jpl)",,"dxf (raytracing, jpl)",0.046638494,,-0.039026642
"dying (tortured, filmed)",0.427129401,"dying (bags, 338)",0.458386932,"dying (sake, neighbor)",0.296314115,"dying (sake, neighbor)",,"dying (sake, neighbor)",0.130815286,,-0.031257531
"dynamic (delay, accomplish)",0.357585983,"dynamic (station, conversation)",0.37302455,"dynamic (fault, insert)",0.292438452,"dynamic (fault, insert)",,"dynamic (fault, insert)",0.065147531,,-0.015438567
"dynamics (geometric, scaled)",0.406985383,"dynamics (winds, sensitive)",0.461385084,"dynamics (recording, interfere)",0.308048408,"dynamics (recording, interfere)",,"dynamics (recording, interfere)",0.098936975,,-0.054399701
"eager (warrants, qualifies)",0.38924877,"eager (objective, capability)",0.521487525,"eager (increasingly, asserting)",0.282296293,"eager (increasingly, asserting)",,"eager (increasingly, asserting)",0.106952477,,-0.132238755
"eagle (camry, rt)",0.3899122,"eagle (ross, roots)",0.448175476,"eagle (hated, elite)",0.321849653,"eagle (hated, elite)",,"eagle (hated, elite)",0.068062547,,-0.058263276
"ear (hearing, mouth)",0.358475387,"ear (clear, havent)",0.388923605,"ear (legally, borrow)",0.302660801,"ear (legally, borrow)",,"ear (legally, borrow)",0.055814586,,-0.030448218
"earl (bristol, kentucky)",0.398670018,"earl (went, heresy)",0.560538065,"earl (butler, excluded)",0.293803068,"earl (butler, excluded)",,"earl (butler, excluded)",0.10486695,,-0.161868047
"earlier (although, though)",0.42310525,"earlier (subject, still)",0.506687484,"earlier (obviously, company)",0.323937729,"earlier (obviously, company)",,"earlier (obviously, company)",0.099167521,,-0.083582234
"earliest (merit, confident)",0.358378358,"earliest (sphere, endorsed)",0.3889067,"earliest (intact, mid)",0.304338655,"earliest (intact, mid)",,"earliest (intact, mid)",0.054039703,,-0.030528342
"early (years, recent)",0.343224085,"early (broke, official)",0.371834153,"early (placed, continue)",0.291482216,"early (placed, continue)",,"early (placed, continue)",0.051741869,,-0.028610068
"earn (sucks, profit)",0.521790388,"earn (moon, struggle)",0.569895268,"earn (dropping, wed)",0.42919902,"earn (dropping, wed)",,"earn (dropping, wed)",0.092591368,,-0.04810488
"earned (everytime, polls)",0.378347472,"earned (ban, guy)",0.428650937,"earned (emotion, handler)",0.284733728,"earned (emotion, handler)",,"earned (emotion, handler)",0.093613744,,-0.050303465
"ears (clothes, investigations)",0.38969157,"ears (suffer, brighter)",0.598745839,"ears (wishing, examining)",0.320463556,"ears (wishing, examining)",,"ears (wishing, examining)",0.069228014,,-0.209054269
"earth (venus, life)",0.453595257,"earth (hospital, refer)",0.522393016,"earth (opposed, wisdom)",0.335093664,"earth (opposed, wisdom)",,"earth (opposed, wisdom)",0.118501593,,-0.068797759
"earths (interactions, emissions)",0.448346766,"earths (churchs, examiner)",0.523198432,"earths (cargo, consortium)",0.35848305,"earths (cargo, consortium)",,"earths (cargo, consortium)",0.089863716,,-0.074851666
"ease (census, rectangle)",0.393132222,"ease (rectangle, import)",0.393918226,"ease (nj, fails)",0.280901262,"ease (nj, fails)",,"ease (nj, fails)",0.11223096,,-0.000786004
"easier (course, way)",0.445003257,"easier (total, enough)",0.49258285,"easier (argue, offer)",0.413316354,"easier (argue, offer)",,"easier (argue, offer)",0.031686903,,-0.047579593
"easiest (arguing, shouldnt)",0.495883246,"easiest (resource, think)",0.522035446,"easiest (trivial, query)",0.411187144,"easiest (trivial, query)",,"easiest (trivial, query)",0.084696102,,-0.0261522
"easily (almost, completely)",0.370238795,"easily (others, ask)",0.442919084,"easily (august, stations)",0.291255782,"easily (august, stations)",,"easily (august, stations)",0.078983013,,-0.072680289
"east (west, north)",0.349635751,"east (coast, houses)",0.402648872,"east (biggest, teach)",0.293986658,"east (biggest, teach)",,"east (biggest, teach)",0.055649093,,-0.053013121
"easter (gifts, leftover)",0.60029807,"easter (goddess, settings)",0.686225222,"easter (agrees, occuring)",0.503653156,"easter (agrees, occuring)",,"easter (agrees, occuring)",0.096644914,,-0.085927152
"eastern (east, foundations)",0.344708391,"eastern (holes, thanks)",0.370298156,"eastern (soviet, clearly)",0.288297577,"eastern (soviet, clearly)",,"eastern (soviet, clearly)",0.056410814,,-0.025589765
"easy (make, way)",0.31952887,"easy (getting, two)",0.337315328,"easy (respond, entirely)",0.248147682,"easy (respond, entirely)",,"easy (respond, entirely)",0.071381188,,-0.017786458
"eat (drink, food)",0.32182552,"eat (letters, passage)",0.374209152,"eat (provided, backup)",0.264999786,"eat (provided, backup)",,"eat (provided, backup)",0.056825734,,-0.052383632
"eaten (restaurant, fever)",0.300189137,"eaten (fever, repaired)",0.358193643,"eaten (pack, skin)",0.271297269,"eaten (pack, skin)",,"eaten (pack, skin)",0.028891868,,-0.058004506
"eating (food, sugar)",0.404657808,"eating (contained, expressions)",0.430101444,"eating (creating, announce)",0.268097285,"eating (creating, announce)",,"eating (creating, announce)",0.136560523,,-0.025443636
"eavesdropping (blaster, cripple)",0.464799848,"eavesdropping (franchise, subdirectory)",0.491439103,"eavesdropping (xyz, cryptology)",0.336253486,"eavesdropping (xyz, cryptology)",,"eavesdropping (xyz, cryptology)",0.128546362,,-0.026639255
"ec (carnegie, notorious)",0.474921969,"ec (prefer, tired)",0.53338881,"ec (deaths, signed)",0.371280494,"ec (deaths, signed)",,"ec (deaths, signed)",0.103641475,,-0.058466841
"echo (exit, slowly)",0.592109402,"echo (diff, spacecraft)",0.646046091,"echo (wave, ticket)",0.402552275,"echo (wave, ticket)",,"echo (wave, ticket)",0.189557127,,-0.053936689
"eclipse (cans, reception)",0.426251346,"eclipse (relatives, emissions)",0.428417367,"eclipse (definately, definitions)",0.283748541,"eclipse (definately, definitions)",,"eclipse (definately, definitions)",0.142502805,,-0.002166021
"economic (economy, fund)",0.334209754,"economic (future, difficulty)",0.412458787,"economic (employed, relatives)",0.286844563,"economic (employed, relatives)",,"economic (employed, relatives)",0.047365191,,-0.078249033
"economical (comfortable, scaled)",0.337805546,"economical (childish, pbmplus)",0.380383855,"economical (hurting, overnight)",0.282118611,"economical (hurting, overnight)",,"economical (hurting, overnight)",0.055686935,,-0.042578309
"economically (occupation, agriculture)",0.544889165,"economically (communities, safeguards)",0.569415864,"economically (visits, establishment)",0.398595908,"economically (visits, establishment)",,"economically (visits, establishment)",0.146293257,,-0.024526699
"economics (dominate, lemieux)",0.480929195,"economics (morals, portion)",0.451147579,"economics (addressed, wasted)",0.294088721,"economics (addressed, wasted)",,"economics (addressed, wasted)",0.186840474,,0.029781616
"economy (incentive, exports)",0.399934291,"economy (import, tongue)",0.557948037,"economy (violation, star)",0.311896413,"economy (violation, star)",,"economy (violation, star)",0.088037878,,-0.158013746
"ed (review, introduction)",0.405705251,"ed (persistent, spread)",0.50137232,"ed (charles, amazing)",0.427560033,"ed (charles, amazing)",,"ed (charles, amazing)",-0.021854782,,-0.095667069
"eddie (brett, nintendo)",0.340226951,"eddie (grenades, nolan)",0.392455683,"eddie (1, bang)",0.263414889,"eddie (1, bang)",,"eddie (1, bang)",0.076812062,,-0.052228732
"edge (fill, affected)",0.536997958,"edge (actively, sit)",0.580836591,"edge (ordered, replace)",0.455462763,"edge (ordered, replace)",,"edge (ordered, replace)",0.081535195,,-0.043838633
"edges (artifacts, smaller)",0.269979191,"edges (casualties, produces)",0.294640564,"edges (easiest, intention)",0.41236042,"edges (easiest, intention)",,"edges (easiest, intention)",-0.142381229,,-0.024661373
"edit (alter, shading)",0.600755133,"edit (pa, connections)",0.773793665,"edit (hint, remain)",0.354543121,"edit (hint, remain)",,"edit (hint, remain)",0.246212012,,-0.173038532
"edited (revolution, philip)",0.374477702,"edited (tcpip, uncommon)",0.401799791,"edited (broad, altogether)",0.301948473,"edited (broad, altogether)",,"edited (broad, altogether)",0.072529229,,-0.027322089
"editing (raster, capture)",0.447886163,"editing (miracles, severe)",0.573864285,"editing (gordon, colleague)",0.353131754,"editing (gordon, colleague)",,"editing (gordon, colleague)",0.094754409,,-0.125978122
"edition (guide, book)",0.364637865,"edition (june, caps)",0.380791321,"edition (manual, money)",0.28504557,"edition (manual, money)",,"edition (manual, money)",0.079592295,,-0.016153456
"editor (files, ftp)",0.323186252,"editor (color, entry)",0.344411813,"editor (licensed, path)",0.282901522,"editor (licensed, path)",,"editor (licensed, path)",0.04028473,,-0.021225561
"editorial (journals, gang)",0.364310534,"editorial (neil, describes)",0.380513737,"editorial (regional, touching)",0.309918799,"editorial (regional, touching)",,"editorial (regional, touching)",0.054391735,,-0.016203203
"editors (officers, jpl)",0.362156827,"editors (hour, technically)",0.38946512,"editors (deserve, pulled)",0.413399645,"editors (deserve, pulled)",,"editors (deserve, pulled)",-0.051242818,,-0.027308293
"edmonton (oilers, hartford)",0.330328826,"edmonton (tampa, 68040)",0.40941822,"edmonton (oilers, gp)",0.280475035,"edmonton (oilers, gp)",,"edmonton (oilers, gp)",0.049853791,,-0.079089394
"edt (stimulus, pdt)",0.37614868,"edt (stimulus, change)",0.671248273,"edt (football, lawsuit)",0.282853286,"edt (football, lawsuit)",,"edt (football, lawsuit)",0.093295394,,-0.295099593
"educate (grow, resources)",0.40498509,"educate (link, detailing)",0.511595039,"educate (blast, mad)",0.336569442,"educate (blast, mad)",,"educate (blast, mad)",0.068415648,,-0.106609949
"educated (heresy, filling)",0.31977834,"educated (discussing, stupidity)",0.377975566,"educated (reluctant, assessment)",0.276720421,"educated (reluctant, assessment)",,"educated (reluctant, assessment)",0.043057919,,-0.058197226
"education (schools, forum)",0.388865796,"education (hearing, partial)",0.421168586,"education (determining, sample)",0.345379316,"education (determining, sample)",,"education (determining, sample)",0.04348648,,-0.03230279
"educational (costs, company)",0.467532026,"educational (considered, stores)",0.606307098,"educational (technologies, convinced)",0.370587692,"educational (technologies, convinced)",,"educational (technologies, convinced)",0.096944334,,-0.138775072
"edward (nc, backwards)",0.323405818,"edward (reboot, minimal)",0.378397595,"edward (stolen, creation)",0.284345885,"edward (stolen, creation)",,"edward (stolen, creation)",0.039059933,,-0.054991777
"ee (korean, targeted)",0.380866717,"ee (mall, refugees)",0.446987397,"ee (terribly, customer)",0.320449082,"ee (terribly, customer)",,"ee (terribly, customer)",0.060417635,,-0.06612068
"eff (wiretapping, aclu)",0.610616379,"eff (fbis, frontier)",0.693665879,"eff (aclu, wiretapping)",0.38343302,"eff (aclu, wiretapping)",,"eff (aclu, wiretapping)",0.227183359,,-0.0830495
"effect (normal, necessarily)",0.450170121,"effect (side, 15)",0.529350616,"effect (area, obviously)",0.31680439,"effect (area, obviously)",,"effect (area, obviously)",0.133365731,,-0.079180495
"effective (prevent, difficult)",0.674467082,"effective (easy, useful)",0.664598256,"effective (tells, issues)",0.490625093,"effective (tells, issues)",,"effective (tells, issues)",0.183841989,,0.009868826
"effectively (easier, practice)",0.488111125,"effectively (13, hardware)",0.623638208,"effectively (replace, impact)",0.356210975,"effectively (replace, impact)",,"effectively (replace, impact)",0.13190015,,-0.135527083
"effectiveness (standpoint, tempest)",0.385883437,"effectiveness (immoral, conscience)",0.428922201,"effectiveness (distant, everytime)",0.290525381,"effectiveness (distant, everytime)",,"effectiveness (distant, everytime)",0.095358056,,-0.043038764
"effects (nature, human)",0.507967396,"effects (software, making)",0.656780664,"effects (purchased, automatic)",0.388487507,"effects (purchased, automatic)",,"effects (purchased, automatic)",0.119479889,,-0.148813268
"efficiency (stays, considerable)",0.491488436,"efficiency (updates, tonight)",0.522962869,"efficiency (dual, 4000)",0.403106594,"efficiency (dual, 4000)",,"efficiency (dual, 4000)",0.088381842,,-0.031474433
"efficient (pump, trees)",0.420087393,"efficient (loss, bible)",0.453153086,"efficient (indicated, increasing)",0.478590633,"efficient (indicated, increasing)",,"efficient (indicated, increasing)",-0.05850324,,-0.033065693
"efficiently (assumes, budget)",0.40751023,"efficiently (skill, horizontal)",0.574167636,"efficiently (meetings, protects)",0.314716764,"efficiently (meetings, protects)",,"efficiently (meetings, protects)",0.092793466,,-0.166657406
"effort (realize, plan)",0.308643455,"effort (issue, 25)",0.349958813,"effort (field, ad)",0.291689183,"effort (field, ad)",,"effort (field, ad)",0.016954272,,-0.041315358
"efforts (impact, threat)",0.342262155,"efforts (limits, among)",0.418305533,"efforts (vice, leaving)",0.290451439,"efforts (vice, leaving)",,"efforts (vice, leaving)",0.051810716,,-0.076043378
"eg (various, ie)",0.466667249,"eg (mean, come)",0.517593217,"eg (somehow, solid)",0.318132412,"eg (somehow, solid)",,"eg (somehow, solid)",0.148534837,,-0.050925968
"ega (cga, vga)",0.348727896,"ega (animation, cga)",0.391822733,"ega (console, xwindows)",0.315710356,"ega (console, xwindows)",,"ega (console, xwindows)",0.03301754,,-0.043094837
"eggs (viruses, pregnancy)",0.436465326,"eggs (simm, growth)",0.471164292,"eggs (noticable, complains)",0.34210563,"eggs (noticable, complains)",,"eggs (noticable, complains)",0.094359696,,-0.034698966
"ego (instrument, ruined)",0.402984796,"ego (freedom, crooks)",0.465257569,"ego (cloth, accordance)",0.330465833,"ego (cloth, accordance)",,"ego (cloth, accordance)",0.072518963,,-0.062272773
"egypt (egyptian, sins)",0.368299578,"egypt (collaboration, invaded)",0.478263208,"egypt (publicly, seven)",0.25084495,"egypt (publicly, seven)",,"egypt (publicly, seven)",0.117454628,,-0.10996363
"egyptian (casualties, christianity)",0.374467192,"egyptian (represent, novell)",0.442772572,"egyptian (prophecy, flesh)",0.301657524,"egyptian (prophecy, flesh)",,"egyptian (prophecy, flesh)",0.072809668,,-0.06830538
"eh (incapable, tapping)",0.394883271,"eh (accurately, facto)",0.421014625,"eh (military, alone)",0.310072483,"eh (military, alone)",,"eh (military, alone)",0.084810788,,-0.026131354
"eight (estimated, percent)",0.344004145,"eight (wise, sit)",0.391652953,"eight (bs, mid)",0.282538431,"eight (bs, mid)",,"eight (bs, mid)",0.061465714,,-0.047648808
"eighth (outline, trans)",0.340408793,"eighth (ieee, del)",0.372959466,"eighth (biases, misunderstood)",0.292879188,"eighth (biases, misunderstood)",,"eighth (biases, misunderstood)",0.047529605,,-0.032550673
"einstein (albert, definitive)",0.509359772,"einstein (albert, wheel)",0.554027698,"einstein (practiced, continental)",0.433267102,"einstein (practiced, continental)",,"einstein (practiced, continental)",0.07609267,,-0.044667926
"eisa (486dx266, motherboard)",0.443887629,"eisa (submit, 1926)",0.480652491,"eisa (eyes, loved)",0.329804068,"eisa (eyes, loved)",,"eisa (eyes, loved)",0.114083561,,-0.036764862
"either (another, one)",0.349497061,"either (get, much)",0.386885786,"either (power, means)",0.302517974,"either (power, means)",,"either (power, means)",0.046979087,,-0.037388725
"ejected (entered, buffer)",0.356697135,"ejected (francisco, astronomers)",0.437096606,"ejected (1961, indications)",0.301950586,"ejected (1961, indications)",,"ejected (1961, indications)",0.054746549,,-0.080399471
"el (fled, vastly)",0.33924724,"el (1012, fulfilled)",0.38714898,"el (candidate, layer)",0.281563491,"el (candidate, layer)",,"el (candidate, layer)",0.057683749,,-0.04790174
"elaborate (technique, adequately)",0.381510028,"elaborate (cured, nearly)",0.39227518,"elaborate (professionals, category)",0.282705679,"elaborate (professionals, category)",,"elaborate (professionals, category)",0.098804349,,-0.010765152
"elderly (women, acted)",0.495626481,"elderly (originate, academic)",0.561210122,"elderly (investigator, cox)",0.394300214,"elderly (investigator, cox)",,"elderly (investigator, cox)",0.101326267,,-0.065583641
"elect (excuses, praise)",0.424764084,"elect (strike, charlie)",0.478676816,"elect (acquire, cloud)",0.283288738,"elect (acquire, cloud)",,"elect (acquire, cloud)",0.141475346,,-0.053912732
"elected (legislation, funds)",0.325058823,"elected (among, decade)",0.380864923,"elected (spending, exceptions)",0.320346585,"elected (spending, exceptions)",,"elected (spending, exceptions)",0.004712238,,-0.0558061
"election (elections, capital)",0.467919774,"election (soviet, miracle)",0.550582801,"election (reviewed, duplicate)",0.327417489,"election (reviewed, duplicate)",,"election (reviewed, duplicate)",0.140502285,,-0.082663027
"elections (parliament, election)",0.490211555,"elections (missions, lifetime)",0.670160925,"elections (generals, libertarians)",0.35524361,"elections (generals, libertarians)",,"elections (generals, libertarians)",0.134967945,,-0.17994937
"electric (pose, plants)",0.538892661,"electric (perfectly, kit)",0.752490835,"electric (assertion, plants)",0.420168151,"electric (assertion, plants)",,"electric (assertion, plants)",0.11872451,,-0.213598174
"electrical (faculty, laboratory)",0.380205345,"electrical (engineering, perform)",0.533356682,"electrical (rev, fixing)",0.284622367,"electrical (rev, fixing)",,"electrical (rev, fixing)",0.095582978,,-0.153151337
"electricity (lamps, investigator)",0.417747831,"electricity (respond, meantime)",0.457602018,"electricity (wa, replied)",0.318594478,"electricity (wa, replied)",,"electricity (wa, replied)",0.099153353,,-0.039854187
"electromagnetic (orbiting, emissions)",0.399299212,"electromagnetic (neural, de)",0.471313087,"electromagnetic (scrutiny, retain)",0.260751534,"electromagnetic (scrutiny, retain)",,"electromagnetic (scrutiny, retain)",0.138547678,,-0.072013875
"electron (observatory, dimensional)",0.411824619,"electron (astros, spatial)",0.472768712,"electron (firstly, preservation)",0.294530466,"electron (firstly, preservation)",,"electron (firstly, preservation)",0.117294153,,-0.060944093
"electronic (project, telephone)",0.484790318,"electronic (burn, drive)",0.558230486,"electronic (usage, holds)",0.341660498,"electronic (usage, holds)",,"electronic (usage, holds)",0.14312982,,-0.073440168
"electronically (purchasing, registering)",0.299028715,"electronically (contacted, databases)",0.33062373,"electronically (strictly, device)",0.271226194,"electronically (strictly, device)",,"electronically (strictly, device)",0.027802521,,-0.031595015
"electronics (circuits, circuit)",0.336864503,"electronics (huge, real)",0.392733732,"electronics (strength, circuit)",0.27503431,"electronics (strength, circuit)",,"electronics (strength, circuit)",0.061830193,,-0.055869229
"element (kinds, capable)",0.503300205,"element (topics, quiet)",0.650617611,"element (approved, intention)",0.431505831,"element (approved, intention)",,"element (approved, intention)",0.071794374,,-0.147317406
"elementary (denver, organize)",0.322973036,"elementary (mail, clayton)",0.388385223,"elementary (charter, resulted)",0.267217072,"elementary (charter, resulted)",,"elementary (charter, resulted)",0.055755964,,-0.065412187
"elements (horizon, origin)",0.388400666,"elements (burn, game)",0.43721216,"elements (grew, market)",0.297698879,"elements (grew, market)",,"elements (grew, market)",0.090701787,,-0.048811494
"elevated (creature, deficiency)",0.498271318,"elevated (protects, deposited)",0.611664606,"elevated (foods, intake)",0.372781054,"elevated (foods, intake)",,"elevated (foods, intake)",0.125490264,,-0.113393288
"eleven (recorded, maintains)",0.350013267,"eleven (yerevan, beating)",0.424678003,"eleven (outlined, reward)",0.294017358,"eleven (outlined, reward)",,"eleven (outlined, reward)",0.055995909,,-0.074664736
"elias (ba, judaism)",0.281381507,"elias (researcher, 269)",0.310923402,"elias (offended, mentality)",0.235139093,"elias (offended, mentality)",,"elias (offended, mentality)",0.046242414,,-0.029541895
"eligible (190, opponents)",0.48227061,"eligible (bone, considerations)",0.520279685,"eligible (prediction, outlined)",0.290757844,"eligible (prediction, outlined)",,"eligible (prediction, outlined)",0.191512766,,-0.038009075
"eliminate (allowing, bundle)",0.406162133,"eliminate (healing, macs)",0.51371579,"eliminate (typically, carry)",0.332544604,"eliminate (typically, carry)",,"eliminate (typically, carry)",0.073617529,,-0.107553657
"eliminated (resolved, terminated)",0.511455782,"eliminated (relatively, southern)",0.59828129,"eliminated (ahead, constant)",0.423106267,"eliminated (ahead, constant)",,"eliminated (ahead, constant)",0.088349515,,-0.086825508
"eliminating (preliminary, bypass)",0.398839873,"eliminating (sb, minors)",0.492228945,"eliminating (gene, dod)",0.340185703,"eliminating (gene, dod)",,"eliminating (gene, dod)",0.05865417,,-0.093389072
"elimination (jsh, productive)",0.403313684,"elimination (winners, taxpayers)",0.445489646,"elimination (precedent, eighth)",0.323806095,"elimination (precedent, eighth)",,"elimination (precedent, eighth)",0.079507589,,-0.042175962
"elite (massive, compact)",0.543219429,"elite (demon, 51)",0.615792931,"elite (estimate, wisconsin)",0.460351015,"elite (estimate, wisconsin)",,"elite (estimate, wisconsin)",0.082868414,,-0.072573502
